Service / Cluster,aws-ap-southeast-2,aws-eu-west-1,aws-northamerica-central-1,aws-sa-east-1,gcp-sa-east-1,gcp-us-central-1,gcp-us-west-1
6,,,,661.5 K,,,
8,220.649 K,220.723 K,220.588 K,,220.685 K,,219.855 K
3,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
4,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
2,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
9,,109.981 K,110.403 K,110.592 K,110.066 K,110.334 K,110.124 K
1,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
5,147.436 K,,147.425 K,147.19 K,146.629 K,146.586 K,146.734 K
0,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
7,,73.502 K,73.167 K,73.669 K,73.366 K,73.333 K,73.963 K
