aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,aws-eu-central-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,aws-northamerica-central-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,aws-sa-east-1
0.01,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.01,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.01,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.01,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.138
0.09,0.09,0.09,0.09,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
